iter	RMSE
0	362463.5115
1	348156.2486
2	335487.877
3	325294.4917
4	315276.1004
5	307094.7762
6	298004.2369
7	290899.3523
8	284808.687
9	279004.7002
10	273765.1312
11	269338.1617
12	265100.4262
13	260594.6906
14	256372.5233
15	252905.6619
16	249371.3045
17	246262.2784
18	243825.763
19	241088.7872
20	238282.7817
21	236124.1217
22	234068.5103
23	231945.1917
24	229610.6607
25	227732.6486
26	225501.682
27	223620.6838
28	221848.8748
29	220354.9517
30	219652.5193
31	218420.2853
32	216429.6897
33	214734.9903
34	213632.0821
35	212748.9258
36	211603.431
37	210703.0327
38	209723.731
39	208319.3599
40	206733.436
41	205483.9523
42	204357.6146
43	203410.1572
44	202124.6334
45	200903.0068
46	199629.5159
47	198681.4327
48	197881.6025
49	196959.5443
50	196106.8774
51	195423.8316
52	194593.1846
53	193708.313
54	193012.6844
55	192157.3901
56	191599.6744
57	190848.5306
58	189675.6339
59	188976.6758
60	188208.9042
61	187725.0742
62	187142.9196
63	186496.6184
64	185824.7067
65	185034.9485
66	184370.6011
67	183838.2486
68	183405.1255
69	182526.535
70	181622.7437
71	181411.4878
72	180784.4161
73	180514.2246
74	179983.979
75	179416.7145
76	178765.8342
77	177823.4299
78	177347.2797
79	176847.613
80	176328.1322
81	175889.7718
82	175279.6122
83	174937.3414
84	174275.719
85	173863.6759
86	173334.1739
87	172938.2191
88	172302.2667
89	172037.2657
90	171815.7993
91	170928.4278
92	170636.9173
93	170284.1921
94	169923.504
95	169526.4588
96	169131.153
97	168779.7394
98	168046.6722
99	167749.6729
