iter	Passed	Remaining
0	11	1122
1	76	3759
2	101	3281
3	126	3035
4	176	3353
5	191	2995
6	226	3004
7	236	2714
8	246	2488
9	255	2300
10	266	2152
11	275	2020
12	285	1911
13	295	1814
14	306	1735
15	318	1669
16	329	1609
17	340	1550
18	351	1497
19	362	1450
20	372	1403
21	383	1359
22	395	1323
23	403	1277
24	412	1238
25	421	1200
26	430	1163
27	440	1133
28	450	1103
29	461	1076
30	470	1046
31	484	1030
32	498	1011
33	508	986
34	517	960
35	533	948
36	544	927
37	555	906
38	563	882
39	574	861
40	584	840
41	592	818
42	608	806
43	619	788
44	630	770
45	641	753
46	653	737
47	665	720
48	675	703
49	685	685
50	695	667
51	704	650
52	714	633
53	724	617
54	734	600
55	743	583
56	752	567
57	761	551
58	771	536
59	782	521
60	792	506
61	802	491
62	812	477
63	823	463
64	835	449
65	845	435
66	855	421
67	865	407
68	874	393
69	885	379
70	898	366
71	906	352
72	916	339
73	926	325
74	935	311
75	945	298
76	954	285
77	964	272
78	975	259
79	984	246
80	994	233
81	1004	220
82	1014	207
83	1023	194
84	1033	182
85	1044	169
86	1053	157
87	1063	145
88	1073	132
89	1083	120
90	1093	108
91	1103	95
92	1112	83
93	1122	71
94	1132	59
95	1143	47
96	1152	35
97	1162	23
98	1172	11
99	1181	0
